datetime,location,direction,latitude,longitude,NO2_mean,avg_temperature
2024-01-02 12:00:00,West City,West,51.54005241555249,-0.07266562672686441,39.21,16.41
2024-01-02 13:00:00,South City,South,34.104667369616045,-118.1774447169243,31.75,9.48
2024-01-02 14:00:00,North City,North,40.77995841061484,-74.04272738249738,16.7,17.82
2024-01-02 15:00:00,East City,East,35.67723059419986,139.65401319178213,38.22,31.28
2024-01-02 16:00:00,East City,East,35.688927827626514,139.7123677043812,35.4,7.51
2024-01-02 17:00:00,West City,West,51.64412110795308,-0.12311172849240266,42.09,21.77
2024-01-02 18:00:00,West City,West,51.64659690232449,-0.1293593399083422,26.27,21.53
2024-01-02 19:00:00,West City,West,51.49622686073371,-0.0920999752953954,19.29,21.38
2024-01-02 20:00:00,North City,North,40.8187443106115,-73.92867316222643,28.72,20.39
2024-01-02 21:00:00,West City,West,51.55967855841731,-0.14490708563026905,25.48,23.44
2024-01-02 22:00:00,West City,West,51.56221648947705,-0.14457055120354198,6.82,16.12
2024-01-02 23:00:00,East City,East,35.692410435922305,139.63455148510846,21.16,19.08
2024-01-03 00:00:00,South City,South,34.07313197345863,-118.28010896246818,38.83,14.85
2024-01-03 01:00:00,East City,East,35.70472245599355,139.704560374549,39.05,13.77
2024-01-03 02:00:00,North City,North,40.70453451927232,-74.04035875876663,18.17,21.46
2024-01-03 03:00:00,South City,South,34.01355873927312,-118.255540930337,26.85,23.31
2024-01-03 04:00:00,East City,East,35.69699168581698,139.69874536840356,18.0,26.41
2024-01-03 05:00:00,North City,North,40.79081900705665,-73.99957244999645,21.07,15.66
2024-01-03 06:00:00,West City,West,51.487829909395906,-0.10589887012891624,29.52,21.63
2024-01-03 07:00:00,South City,South,33.95094287066712,-118.23437728426153,51.44,22.44
2024-01-03 08:00:00,North City,North,40.669922555716944,-73.96399973116888,16.92,4.07
2024-01-03 09:00:00,South City,South,34.03548764544248,-118.25959234532553,22.28,29.63
2024-01-03 10:00:00,South City,South,34.06575308743711,-118.13145966969948,26.81,16.57
2024-01-03 11:00:00,West City,West,51.4314315017023,-0.15201170364331257,51.22,25.23
2024-01-03 12:00:00,West City,West,51.49336725623296,-0.15799879597488742,23.2,16.16
2024-01-03 13:00:00,South City,South,34.05122789295502,-118.29032958282806,27.63,31.1
2024-01-03 14:00:00,East City,East,35.66849762676863,139.69866020554784,25.19,3.34
2024-01-03 15:00:00,South City,South,34.1242636644533,-118.31549310755898,25.6,18.92
2024-01-03 16:00:00,South City,South,34.10083164334494,-118.16647625806462,61.87,18.59
2024-01-03 17:00:00,West City,West,51.539758134839346,-0.12149525860879855,27.98,18.43
2024-01-03 18:00:00,West City,West,51.518749215060964,-0.14134811310838694,37.49,30.66
2024-01-03 19:00:00,East City,East,35.703549593386754,139.66056502400897,28.48,22.12
2024-01-03 20:00:00,North City,North,40.65655241310836,-73.94190398098429,18.44,28.99
2024-01-03 21:00:00,East City,East,35.73710055469234,139.76432751237311,23.78,15.51
2024-01-03 22:00:00,North City,North,40.715337197942766,-73.98127000540592,29.1,14.46
2024-01-03 23:00:00,North City,North,40.71175492030179,-74.00013363083455,37.47,22.27
2024-01-04 00:00:00,South City,South,34.061224625274974,-118.19014792379413,34.92,7.31
2024-01-04 01:00:00,West City,West,51.487004232361436,-0.11471884720137668,45.53,14.92
2024-01-04 02:00:00,North City,North,40.63555005257015,-74.04813675482434,26.74,40.78
2024-01-04 03:00:00,East City,East,35.69434979824964,139.72145785127185,33.24,17.09
2024-01-04 04:00:00,East City,East,35.67237055658847,139.7041657270811,41.24,33.0
2024-01-04 05:00:00,North City,North,40.60829911256849,-73.91747842417166,23.01,17.94
2024-01-04 06:00:00,East City,East,35.69400362934908,139.69583652179003,48.14,20.83
2024-01-04 07:00:00,South City,South,34.02864808471908,-118.23209750313212,32.45,14.45
2024-01-04 08:00:00,North City,North,40.72729414057686,-74.01536124781744,34.46,7.77
2024-01-04 09:00:00,North City,North,40.610946203251395,-73.92749838597287,23.36,27.52
2024-01-04 10:00:00,South City,South,34.023489927559616,-118.31829871627295,22.76,4.87
2024-01-04 11:00:00,South City,South,34.07816732571206,-118.16706305434988,33.23,12.21
2024-01-04 12:00:00,South City,South,34.055070647387815,-118.28590538662044,24.51,0.79
2024-01-04 13:00:00,North City,North,40.73648136938638,-74.00328247110308,30.7,24.88
2024-01-04 14:00:00,South City,South,34.00733818343193,-118.16740850213746,25.28,14.11
2024-01-04 15:00:00,East City,East,35.64751390789096,139.66173036772778,51.9,12.34
2024-01-04 16:00:00,South City,South,34.012288239098424,-118.31059224119042,16.48,14.09
2024-01-04 17:00:00,West City,West,51.535967375516336,-0.07927380899933946,10.87,20.54
2024-01-04 18:00:00,North City,North,40.751813758221004,-73.99844600189236,28.77,22.54
2024-01-04 19:00:00,South City,South,33.966543273545454,-118.17600638129173,41.79,14.72
2024-01-04 20:00:00,South City,South,34.063134154613806,-118.26791878459846,32.59,26.63
2024-01-04 21:00:00,North City,North,40.69714881458918,-74.08595617362687,45.16,20.19
2024-01-04 22:00:00,South City,South,34.06885866474199,-118.25659510822719,21.51,11.45
2024-01-04 23:00:00,West City,West,51.52401570059898,-0.16522432682782767,14.66,26.94
2024-01-05 00:00:00,South City,South,34.09905362601576,-118.27216630652744,42.75,17.36
2024-01-05 01:00:00,West City,West,51.45638083763689,-0.14125472189644753,40.27,19.16
2024-01-05 02:00:00,East City,East,35.746981153941654,139.71796058563456,43.97,15.27
2024-01-05 03:00:00,East City,East,35.630337074366714,139.58973839111198,40.58,5.69
2024-01-05 04:00:00,East City,East,35.73280352580214,139.68652119500493,33.6,30.03
2024-01-05 05:00:00,South City,South,34.051464087068254,-118.20387972851519,39.82,20.31
2024-01-05 06:00:00,West City,West,51.52617940339958,-0.1963794689861562,14.77,26.44
2024-01-05 07:00:00,East City,East,35.66380665413317,139.63873932390555,33.67,11.42
2024-01-05 08:00:00,East City,East,35.69330240199482,139.70934799877693,30.44,25.52
2024-01-05 09:00:00,East City,East,35.617795556538375,139.68212335880432,21.85,14.09
2024-01-05 10:00:00,South City,South,34.02093809082232,-118.2573804871752,26.25,12.27
2024-01-05 11:00:00,East City,East,35.68388359751546,139.68065152002333,23.0,19.5
2024-01-05 12:00:00,North City,North,40.71398757409989,-73.99021820116594,31.82,12.57
2024-01-05 13:00:00,West City,West,51.47607379086557,-0.23740650281209894,53.74,15.82
2024-01-05 14:00:00,North City,North,40.73639134956332,-73.97344674716649,34.0,12.51
2024-01-05 15:00:00,West City,West,51.42707768398712,-0.11762681820663884,28.72,11.31
2024-01-05 16:00:00,North City,North,40.77227998906424,-73.99483319206519,22.29,22.03
2024-01-05 17:00:00,South City,South,34.06311113662655,-118.19817179388146,22.27,15.54
2024-01-05 18:00:00,West City,West,51.63606624760552,-0.15900083644442892,43.43,8.85
2024-01-05 19:00:00,South City,South,34.00033769228368,-118.25321693390418,45.23,21.77
2024-01-05 20:00:00,North City,North,40.64203987402413,-73.97622994321448,37.11,15.97
2024-01-05 21:00:00,East City,East,35.671428858028655,139.6797753316308,30.28,18.89
2024-01-05 22:00:00,South City,South,34.09207421022391,-118.23643979698574,27.94,2.05
2024-01-05 23:00:00,East City,East,35.71454585938122,139.64282223776007,24.23,23.29
2024-01-06 00:00:00,North City,North,40.7748985299005,-74.01028815846165,32.86,30.48
2024-01-06 01:00:00,North City,North,40.726787867489335,-74.14304774222299,24.35,10.99
2024-01-06 02:00:00,North City,North,40.70212636815464,-73.99907460188058,48.47,19.86
2024-01-06 03:00:00,South City,South,34.019608194609894,-118.24133006643419,29.34,9.52
2024-01-06 04:00:00,South City,South,33.98218922244932,-118.23221687678834,50.67,4.39
2024-01-06 05:00:00,West City,West,51.56271645524142,-0.08921809253493318,23.98,23.32
2024-01-06 06:00:00,East City,East,35.67883964365475,139.69967667028652,53.9,13.77
2024-01-06 07:00:00,North City,North,40.71712948937365,-74.01378386176961,33.71,13.77
2024-01-06 08:00:00,South City,South,34.078006236428884,-118.21992531792755,35.32,22.87
2024-01-06 09:00:00,North City,North,40.60239467241631,-73.98796107876633,35.43,25.24
2024-01-06 10:00:00,North City,North,40.80141889934888,-74.02591866950885,47.09,23.77
2024-01-06 11:00:00,West City,West,51.50832091895948,-0.04397813438623585,11.29,15.54
2024-01-06 12:00:00,North City,North,40.67544460555299,-74.00325403506739,17.89,6.71
2024-01-06 13:00:00,West City,West,51.515659719006024,-0.09935316627651791,21.15,20.01
2024-01-06 14:00:00,West City,West,51.50676279247558,-0.07508023920754428,21.18,21.59
2024-01-06 15:00:00,South City,South,34.029231955022986,-118.28619221847325,31.82,19.74
2024-01-06 16:00:00,North City,North,40.74573525628549,-74.05145788085426,25.03,20.71
2024-01-06 17:00:00,North City,North,40.77714874819248,-74.02823187791228,26.52,23.8
2024-01-06 18:00:00,North City,North,40.779321928163455,-73.9060341396875,4.27,15.3
2024-01-06 19:00:00,South City,South,33.96326398755478,-118.16889778442554,22.26,9.29
2024-01-06 20:00:00,East City,East,35.676058291160246,139.66970678561924,38.14,7.49
2024-01-06 21:00:00,West City,West,51.51824305184915,-0.10569416673432636,47.82,22.13
2024-01-06 22:00:00,South City,South,34.02082905578113,-118.26846946214657,23.97,27.11
2024-01-06 23:00:00,West City,West,51.422776768514254,-0.0513224840269693,30.56,25.66
2024-01-07 00:00:00,North City,North,40.73656594301062,-73.94005806894546,22.03,22.63
2024-01-07 01:00:00,East City,East,35.678006021427684,139.72310700067402,38.52,1.75
2024-01-07 02:00:00,South City,South,34.03002600537573,-118.23956720202776,38.41,17.73
2024-01-07 03:00:00,East City,East,35.55465566785293,139.6889852566741,27.54,16.09
2024-01-07 04:00:00,West City,West,51.46205482529291,-0.16383161176515917,40.39,13.11
2024-01-07 05:00:00,South City,South,34.012244471458736,-118.25192678290249,19.83,21.62
2024-01-07 06:00:00,North City,North,40.66925676761768,-74.0865980589825,24.22,11.63
2024-01-07 07:00:00,East City,East,35.66081689965599,139.664357052938,31.98,16.99
2024-01-07 08:00:00,North City,North,40.63026321402757,-73.97095288692769,40.86,15.24
2024-01-07 09:00:00,East City,East,35.585581167254055,139.62966799611561,43.89,-0.62
2024-01-07 10:00:00,South City,South,34.023814048261215,-118.25477610483424,26.43,19.67
2024-01-07 11:00:00,East City,East,35.63397120772671,139.77931352217118,15.92,12.56
2024-01-07 12:00:00,East City,East,35.608373818490115,139.70874941761386,27.43,25.17
2024-01-07 13:00:00,East City,East,35.71452387597103,139.63903706396775,30.99,17.09
2024-01-07 14:00:00,East City,East,35.69015002532476,139.69477843103127,38.62,22.36
2024-01-07 15:00:00,South City,South,33.998146833620005,-118.21290321965279,26.39,26.12
2024-01-07 16:00:00,East City,East,35.75765765510534,139.73019597792648,23.97,16.2
2024-01-07 17:00:00,North City,North,40.65072493845255,-74.04681527045274,13.3,30.35
2024-01-07 18:00:00,South City,South,34.02842347279178,-118.19291565274683,26.71,17.32
2024-01-07 19:00:00,West City,West,51.51795087336013,-0.1326356555935196,9.18,29.88
2024-01-07 20:00:00,South City,South,34.06642362945848,-118.24177242423247,26.45,19.8
2024-01-07 21:00:00,East City,East,35.797261976921654,139.72531286422068,26.64,27.42
2024-01-07 22:00:00,East City,East,35.63727526268001,139.6805802640056,36.17,9.6
2024-01-07 23:00:00,North City,North,40.72259226275489,-74.05491863888075,24.6,12.55
2024-01-08 00:00:00,South City,South,34.1427475133166,-118.24474243803326,28.51,13.25
2024-01-08 01:00:00,North City,North,40.662612105421836,-73.98048518052089,46.21,28.99
2024-01-08 02:00:00,North City,North,40.69186475795968,-73.93325360958372,26.77,26.0
2024-01-08 03:00:00,South City,South,34.061538338223855,-118.28146914661767,35.18,12.92
2024-01-08 04:00:00,South City,South,34.089601736298086,-118.1686514184718,38.24,17.13
2024-01-08 05:00:00,South City,South,34.05696604034738,-118.23474816017256,50.81,15.87
2024-01-08 06:00:00,North City,North,40.726977903530546,-74.02003080080824,32.98,5.96
2024-01-08 07:00:00,North City,North,40.770263666314285,-74.04115882125629,55.6,17.33
2024-01-08 08:00:00,North City,North,40.79554891878683,-74.04121395652949,17.32,8.7
2024-01-08 09:00:00,West City,West,51.5323868810056,-0.10117024453147244,14.42,15.2
2024-01-08 10:00:00,West City,West,51.5405868606944,-0.07729292697856907,26.92,13.39
2024-01-08 11:00:00,North City,North,40.7318098925503,-73.97547071273581,31.78,8.65
2024-01-08 12:00:00,North City,North,40.714787084795525,-74.00543257605119,38.05,24.51
2024-01-08 13:00:00,South City,South,34.093124236731924,-118.2370076172877,14.73,17.59
2024-01-08 14:00:00,South City,South,34.04256101063807,-118.25140183579835,33.58,13.89
2024-01-08 15:00:00,East City,East,35.690915918806525,139.69318780697478,29.6,22.77
2024-01-08 16:00:00,South City,South,33.98849655075233,-118.17299797694987,51.91,20.38
2024-01-08 17:00:00,West City,West,51.49434863733766,-0.12105076395901557,19.58,26.95
2024-01-08 18:00:00,East City,East,35.75100806567286,139.73350305255798,31.75,27.72
2024-01-08 19:00:00,North City,North,40.71691419946377,-73.95272598124673,32.67,24.23
2024-01-08 20:00:00,West City,West,51.47351454971874,-0.2038622437294323,55.98,13.45
2024-01-08 21:00:00,South City,South,34.008568468631445,-118.20401710290099,13.18,5.69
2024-01-08 22:00:00,East City,East,35.71222817411498,139.72890191353247,11.39,15.9
2024-01-08 23:00:00,North City,North,40.79032502464071,-74.05591770203694,29.65,19.64
2024-01-09 00:00:00,West City,West,51.54897713788546,-0.11741936558859677,35.63,7.27
2024-01-09 01:00:00,South City,South,33.97370198311713,-118.24000185179632,41.67,29.35
2024-01-09 02:00:00,South City,South,34.07796364264934,-118.18399090187245,25.84,17.27
2024-01-09 03:00:00,East City,East,35.647882221344794,139.7152707778193,44.21,14.0
2024-01-09 04:00:00,West City,West,51.395116640050304,-0.1717185593546392,52.36,13.34
2024-01-09 05:00:00,East City,East,35.64697217706689,139.6969367649319,35.43,25.59
2024-01-09 06:00:00,West City,West,51.534953387273795,-0.12585611960385265,27.65,18.71
2024-01-09 07:00:00,West City,West,51.50657885519636,-0.0683803363275958,24.82,19.57
2024-01-09 08:00:00,West City,West,51.60065016169987,-0.0867758780864387,39.07,18.25
2024-01-09 09:00:00,West City,West,51.51940113688425,-0.11252228398113708,13.61,21.24
2024-01-09 10:00:00,West City,West,51.48417465372487,-0.1753165484098359,23.62,14.68
2024-01-09 11:00:00,North City,North,40.78190794955188,-73.97356450562052,40.67,26.19
2024-01-09 12:00:00,East City,East,35.70098139650818,139.68407643224475,40.4,17.34
2024-01-09 13:00:00,South City,South,34.040914317621535,-118.24352926244109,34.18,20.8
2024-01-09 14:00:00,West City,West,51.45784098451949,-0.1200796361519154,27.52,13.84
2024-01-09 15:00:00,South City,South,34.03681108825235,-118.2327424836168,36.45,33.14
2024-01-09 16:00:00,South City,South,34.034642965308954,-118.18833057858306,29.54,15.69
2024-01-09 17:00:00,East City,East,35.680181380281844,139.67146670883466,31.76,20.86
2024-01-09 18:00:00,North City,North,40.678028918505504,-74.00807850487713,37.52,24.84
2024-01-09 19:00:00,West City,West,51.585676201461716,-0.13108751305364938,24.41,20.64
2024-01-09 20:00:00,South City,South,34.117132986708214,-118.23831600651367,36.78,17.66
2024-01-09 21:00:00,East City,East,35.678379361077226,139.63435206856332,41.22,27.17
2024-01-09 22:00:00,North City,North,40.77097427290156,-74.05246660970512,11.53,14.03
2024-01-09 23:00:00,South City,South,34.04809244108037,-118.1878352084206,17.48,28.11
2024-01-10 00:00:00,West City,West,51.58872597358498,-0.2518647493282601,25.81,14.63
2024-01-10 01:00:00,East City,East,35.75196008837438,139.71627022835096,20.56,20.26
2024-01-10 02:00:00,North City,North,40.63846146086498,-73.99017869634754,15.74,22.24
2024-01-10 03:00:00,West City,West,51.54943217744943,-0.16043119896511954,31.28,13.23
2024-01-10 04:00:00,East City,East,35.70592476850649,139.68808582609648,49.63,15.3
2024-01-10 05:00:00,South City,South,34.070806569554655,-118.21975639180341,40.24,10.34
2024-01-10 06:00:00,West City,West,51.491232189385684,-0.12541982240928243,39.4,23.92
2024-01-10 07:00:00,South City,South,34.041151791308515,-118.24235570805028,45.03,24.14
2024-01-10 08:00:00,West City,West,51.48384459138486,-0.07404378623913555,30.63,12.54
2024-01-10 09:00:00,East City,East,35.738944136865456,139.72286549033274,31.95,10.56
2024-01-10 10:00:00,South City,South,34.062728398881426,-118.19968518753734,31.02,16.08
2024-01-10 11:00:00,North City,North,40.747711165680684,-73.98632573072891,30.6,13.47
2024-01-10 12:00:00,South City,South,34.03542939281529,-118.12303030424415,42.65,21.92
2024-01-10 13:00:00,East City,East,35.67960234367158,139.75756391133655,31.15,24.65
2024-01-10 14:00:00,East City,East,35.776110762624285,139.7454541410518,46.86,14.78
2024-01-10 15:00:00,North City,North,40.73894177440177,-74.03468500019693,26.8,20.97
2024-01-10 16:00:00,East City,East,35.647331342273034,139.69102252259762,35.06,4.02
2024-01-10 17:00:00,East City,East,35.744052305108234,139.68616332854597,24.98,19.48
2024-01-10 18:00:00,East City,East,35.75872210558428,139.72957278746586,41.31,16.08
2024-01-10 19:00:00,South City,South,34.13639638457289,-118.26664421314345,32.24,25.33
2024-01-10 20:00:00,West City,West,51.53738919279823,-0.07112266127486472,45.1,29.48
2024-01-10 21:00:00,East City,East,35.71614299464068,139.62900958831034,38.0,19.25
2024-01-10 22:00:00,West City,West,51.48358496795156,-0.058384364928309604,25.1,22.36
2024-01-10 23:00:00,South City,South,34.05092229645043,-118.18506354903704,24.5,13.3
2024-01-11 00:00:00,South City,South,34.129312797302426,-118.15347514558192,28.0,12.07
2024-01-11 01:00:00,West City,West,51.52611400277886,-0.13214223885650958,18.44,20.23
2024-01-11 02:00:00,South City,South,33.981885768570834,-118.2713313997453,47.17,28.76
2024-01-11 03:00:00,East City,East,35.73931334097236,139.66701217084193,30.77,9.02
2024-01-11 04:00:00,North City,North,40.64797491162596,-74.08162977504195,51.9,9.18
2024-01-11 05:00:00,East City,East,35.75022546426527,139.6872238694876,38.47,26.56
2024-01-11 06:00:00,West City,West,51.58660018027818,-0.01241041525019658,40.95,16.87
2024-01-11 07:00:00,West City,West,51.543781477181845,-0.12520270570963501,29.28,17.74
2024-01-11 08:00:00,North City,North,40.72234688753867,-74.05072816162068,17.63,22.4
2024-01-11 09:00:00,West City,West,51.500721007934736,-0.0735066829066097,31.39,21.17
2024-01-11 10:00:00,East City,East,35.63622181375675,139.69629028872902,8.78,20.05
2024-01-11 11:00:00,South City,South,34.08283869525313,-118.29637077815869,41.08,10.72
2024-01-11 12:00:00,South City,South,34.029278152990656,-118.27339182544992,36.0,12.33
2024-01-11 13:00:00,East City,East,35.68795561822142,139.7918703633591,35.47,11.58
2024-01-11 14:00:00,North City,North,40.69269825948274,-73.99204847872687,31.84,19.17
2024-01-11 15:00:00,North City,North,40.74473651110146,-74.06315024563652,41.06,26.31
2024-01-11 16:00:00,North City,North,40.66329868818469,-74.02800036954977,38.39,30.71
2024-01-11 17:00:00,West City,West,51.52443000095499,-0.056040922540497404,40.05,16.23
2024-01-11 18:00:00,North City,North,40.75787373149739,-74.01294312935974,33.02,12.5
2024-01-11 19:00:00,North City,North,40.705297220648376,-73.99972117732642,27.02,27.63
2024-01-11 20:00:00,South City,South,34.119105760822386,-118.16438130599205,16.59,26.15
2024-01-11 21:00:00,East City,East,35.6118636466092,139.67652320072114,21.15,28.87
2024-01-11 22:00:00,North City,North,40.65337566390368,-73.99039602905901,26.97,17.76
2024-01-11 23:00:00,South City,South,34.10128827434958,-118.25994156917544,23.12,33.77
2024-01-12 00:00:00,West City,West,51.499900605430014,-0.20951476678148837,30.9,9.73
2024-01-12 01:00:00,East City,East,35.67686571559995,139.71130422648505,36.8,22.03
2024-01-12 02:00:00,East City,East,35.61962408835781,139.68693774608872,17.83,14.63
2024-01-12 03:00:00,South City,South,34.00277044464245,-118.2988794658608,13.07,17.31
2024-01-12 04:00:00,East City,East,35.70221246020675,139.66772940705908,54.56,24.85
2024-01-12 05:00:00,South City,South,34.04548659483213,-118.25166119390484,23.97,6.89
2024-01-12 06:00:00,East City,East,35.66043824134586,139.64692452989274,33.29,20.76
2024-01-12 07:00:00,North City,North,40.71181811005367,-73.97837550227915,14.07,21.08
2024-01-12 08:00:00,East City,East,35.639411586071766,139.69512356842642,25.38,26.07
2024-01-12 09:00:00,North City,North,40.69860290945587,-73.98594038918365,42.06,20.69
2024-01-12 10:00:00,North City,North,40.74978749699392,-74.01868733404137,19.41,21.34
2024-01-12 11:00:00,West City,West,51.47147963672154,-0.08305378115277792,17.56,13.15
2024-01-12 12:00:00,East City,East,35.718833910426504,139.72575031193708,34.36,24.25
2024-01-12 13:00:00,South City,South,34.07841813736265,-118.28044552072389,52.23,9.34
2024-01-12 14:00:00,South City,South,34.02482548215006,-118.2905889916935,54.68,4.75
2024-01-12 15:00:00,East City,East,35.66162541074961,139.62320985102104,39.64,33.47
2024-01-12 16:00:00,North City,North,40.68190936603717,-73.91117528084352,36.67,7.15
2024-01-12 17:00:00,North City,North,40.727934267449804,-74.0327074174844,39.76,25.73
2024-01-12 18:00:00,South City,South,34.0926769636003,-118.30919885791413,31.69,19.76
2024-01-12 19:00:00,West City,West,51.4749361227467,-0.18899701333811283,24.18,10.9
2024-01-12 20:00:00,West City,West,51.481354309033165,-0.11752857018642654,42.39,16.5
2024-01-12 21:00:00,West City,West,51.53053131676905,-0.021907202518705496,40.31,18.76
2024-01-12 22:00:00,North City,North,40.70562438278223,-74.03243310016686,16.43,16.68
2024-01-12 23:00:00,South City,South,34.01694940721208,-118.24648845388289,46.73,20.93
2024-01-13 00:00:00,West City,West,51.49105818534689,-0.187288077086605,43.11,22.86
2024-01-13 01:00:00,South City,South,34.11790047373219,-118.30442717448632,45.83,15.85
2024-01-13 02:00:00,West City,West,51.46973508878307,-0.08833421940726999,6.64,14.5
2024-01-13 03:00:00,South City,South,34.0618024558245,-118.25915582321012,53.19,20.75
2024-01-13 04:00:00,North City,North,40.698259695992796,-74.02639115430343,31.55,35.26
2024-01-13 05:00:00,North City,North,40.71715932021032,-73.97059554390717,22.96,16.33
2024-01-13 06:00:00,East City,East,35.71195054817095,139.6651746188531,24.49,23.69
2024-01-13 07:00:00,East City,East,35.73545382414939,139.67718627279058,30.82,17.31
2024-01-13 08:00:00,South City,South,34.08110585487369,-118.26982010671135,22.97,21.04
2024-01-13 09:00:00,East City,East,35.63767120418219,139.75735342577943,18.12,15.53
2024-01-13 10:00:00,West City,West,51.47129093460365,0.0036606315650136445,37.12,18.84
2024-01-13 11:00:00,North City,North,40.78231037745087,-73.9781094846824,29.75,23.72
2024-01-13 12:00:00,North City,North,40.7383139505266,-73.9561093640868,32.87,17.19
2024-01-13 13:00:00,South City,South,33.96207955462529,-118.27602647605963,35.08,18.38
2024-01-13 14:00:00,South City,South,34.05465267046372,-118.25523502065978,26.26,22.43
2024-01-13 15:00:00,East City,East,35.69693337286011,139.6748457014441,27.87,28.44
2024-01-13 16:00:00,North City,North,40.674311556105955,-74.03402275491399,17.69,16.18
2024-01-13 17:00:00,West City,West,51.43068506868077,-0.08217823753704168,30.16,12.9
2024-01-13 18:00:00,West City,West,51.551253938467525,-0.09412174284066499,39.51,20.98
2024-01-13 19:00:00,East City,East,35.63099434869704,139.60160097812098,16.33,16.43
2024-01-13 20:00:00,South City,South,34.040566404574,-118.29602389713122,25.94,9.86
2024-01-13 21:00:00,South City,South,34.057642281510454,-118.29963157140995,38.63,12.42
2024-01-13 22:00:00,North City,North,40.65307801209972,-73.98035781934603,39.35,14.54
2024-01-13 23:00:00,North City,North,40.71877901842071,-74.05465344704407,29.85,22.06
2024-01-14 00:00:00,East City,East,35.670020169657064,139.71939166658908,12.57,17.97
2024-01-14 01:00:00,South City,South,34.008458980996195,-118.3575186754296,6.97,14.89
2024-01-14 02:00:00,North City,North,40.70290976570518,-74.02498786699901,32.91,12.89
2024-01-14 03:00:00,South City,South,34.08930476860046,-118.22873537097968,51.57,13.76
2024-01-14 04:00:00,West City,West,51.55794311201859,-0.1343257539948497,33.66,16.2
2024-01-14 05:00:00,North City,North,40.70135085692549,-74.00149785811733,30.89,30.05
2024-01-14 06:00:00,North City,North,40.70664930383216,-74.00129102791598,37.93,26.59
2024-01-14 07:00:00,North City,North,40.77282069539722,-74.03884471394856,16.53,11.2
2024-01-14 08:00:00,East City,East,35.751701697406745,139.5815419769587,23.89,26.36
2024-01-14 09:00:00,South City,South,34.08255655503918,-118.1781420556841,22.18,24.16
2024-01-14 10:00:00,South City,South,34.10030996772976,-118.24634299771456,21.39,11.84
2024-01-14 11:00:00,South City,South,34.05505065624485,-118.23027038605684,23.56,24.49
